Id,SalePrice
1461,126161.26161149348
1462,166617.07189151322
1463,182423.70617998656
1464,190872.60240741016
1465,199533.7694750096
1466,183905.81809257602
1467,179863.76539393718
1468,167334.42072896726
1469,180723.2799187638
1470,126578.03816062631
1471,200566.3598122173
1472,90083.24828881644
1473,98386.4738669035
1474,155179.6069168893
1475,119365.54546971434
1476,372324.0289268719
1477,255180.1874362119
1478,289275.41927165614
1479,265678.24890480743
1480,446807.61690939165
1481,298606.3500120792
1482,203400.32475051566
1483,178229.76291478163
1484,165439.1599451951
1485,175731.72836054146
1486,193001.05270551372
1487,323664.03831036354
1488,222345.5142108824
1489,210147.87993449997
1490,238703.09385907263
1491,186041.99037565544
1492,92671.70052780793
1493,174837.359336604
1494,315804.1813835978
1495,289868.34185329865
1496,237464.564897122
1497,182083.56701673905
1498,156085.30106464526
1499,149031.94561758434
1500,154317.8743210412
1501,182671.34489014442
1502,158784.74246999496
1503,292739.96301906236
1504,223272.3475966525
1505,231548.7494556696
1506,192843.27610906772
1507,241874.58136186178
1508,194182.82893359728
1509,167502.87082745635
1510,150826.91906331197
1511,151550.0764206333
1512,171698.56361603204
1513,138481.5105033571
1514,149065.8504639747
1515,209621.38424962148
1516,154679.15872938553
1517,163411.96264015717
1518,127529.97907565528
1519,221185.4934993987
1520,140384.6734517565
1521,141327.57865184246
1522,164385.50559431216
1523,104637.4832409435
1524,118867.25940974035
1525,127850.65616843275
1526,115564.10252544149
1527,108434.2193079978
1528,131197.49940642537
1529,154763.92395226113
1530,174385.55180190655
1531,120041.44392213596
1532,100427.67098719256
1533,140760.03674976467
1534,122500.8194942876
1535,161206.87301027463
1536,116704.41322256449
1537,86890.31924875126
1538,165499.36213446112
1539,235479.1642537901
1540,117186.20408309053
1541,138597.5543073973
1542,139353.41169689648
1543,202480.835522958
1544,77975.9322291631
1545,106401.4072851505
1546,136475.0984260519
1547,146932.6776219981
1548,136201.58530616105
1549,119661.84232944084
1550,132055.40134455133
1551,114703.10764277357
1552,141473.56727060766
1553,156347.16917672055
1554,117441.66320882074
1555,177013.41124822572
1556,101690.45471872894
1557,101158.65796276668
1558,94575.68969098521
1559,108965.04910437168
1560,136230.26510197477
1561,153504.7353803811
1562,130899.82997182594
1563,126282.6321540052
1564,168100.7714198366
1565,158028.76019333827
1566,234298.30096106775
1567,68911.05882846937
1568,231587.55396961787
1569,155709.52922933217
1570,151923.3702092177
1571,127117.06463975825
1572,146348.3631137802
1573,247108.9108352642
1574,108118.51662872304
1575,218604.0309100392
1576,244288.02440119535
1577,199189.3550614175
1578,141820.43387358516
1579,155225.8852469984
1580,194902.51888953047
1581,144159.51680605745
1582,127380.69843356867
1583,317084.1732656981
1584,216588.86719206758
1585,142994.34986969762
1586,71410.15577116412
1587,99932.13009336148
1588,158990.97532048257
1589,103938.0146471779
1590,135309.2276482297
1591,99144.57381999286
1592,124055.65001889947
1593,131308.23587643565
1594,136279.05923285903
1595,108577.8037217917
1596,222650.63842331874
1597,179592.54776969567
1598,200040.85552981027
1599,177582.39546265855
1600,176378.46090688376
1601,71185.97355817453
1602,116896.33769869892
1603,93126.51693479627
1604,277402.1375821872
1605,219054.04884337352
1606,167560.26562942367
1607,160245.64097164618
1608,208105.2058791815
1609,187713.52581108583
1610,160495.51829544347
1611,140582.92550562343
1612,175272.0805905735
1613,177006.78403280943
1614,123842.16596844605
1615,87636.58023861132
1616,66523.2611211049
1617,86875.60881609117
1618,122671.40196028758
1619,144930.67109350456
1620,177141.98607346072
1621,139142.80003933646
1622,140964.19527119474
1623,283343.9250496177
1624,228935.02848535468
1625,119717.6910231899
1626,165371.49474147116
1627,188190.64896730165
1628,254596.11204628999
1629,176668.52626495357
1630,353629.6168598942
1631,202534.60837345856
1632,224027.0391149107
1633,166368.99336443
1634,187438.49723965226
1635,179336.1664726071
1636,151308.15838418188
1637,193297.10232135945
